,total_rent,living_space,nr_of_rooms,building_type,age_of_building,zip_code,region,street,latitude,longitude
0,2700,120,2.0,Dachgeschoss,,60323,"Frankfurt, Bockenheim",,50.1223606,8.637532
1,2700,120,2.0,Dachgeschoss,,60323,"Frankfurt, Bockenheim",,50.1223606,8.637532
2,2700,120,2.0,Dachgeschoss,,60323,"Frankfurt, Bockenheim",,50.1223606,8.637532
3,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
4,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
5,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
6,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
7,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
8,790,27,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
9,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
10,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
11,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
12,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
13,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
14,630,20,1.0,Etagenwohnung,27.0,60439,"Frankfurt am Main, Heddernheim",Olof-Palme-Straße 31,50.172883,8.641283
15,1029,29,1.0,,2.0,60326,"Frankfurt, Gallusviertel",Mainzer Landstraße 235,50.1022568,8.6364922
16,1029,29,1.0,,2.0,60326,"Frankfurt, Gallusviertel",Mainzer Landstraße 235,50.1022568,8.6364922
17,1029,29,1.0,,2.0,60326,"Frankfurt, Gallusviertel",Mainzer Landstraße 235,50.1022568,8.6364922
18,1029,29,1.0,,2.0,60326,"Frankfurt, Gallusviertel",Mainzer Landstraße 235,50.1022568,8.6364922
19,1125,32,1.0,,4.0,65479,"Raunheim, Groß-Gerau (Kreis)",Schulstraße 2 a-c,49.92139,8.48255
20,1125,32,1.0,,4.0,65479,"Raunheim, Groß-Gerau (Kreis)",Schulstraße 2 a-c,49.92139,8.48255
21,1125,32,1.0,,4.0,65479,"Raunheim, Groß-Gerau (Kreis)",Schulstraße 2 a-c,49.92139,8.48255
22,1125,32,1.0,,4.0,65479,"Raunheim, Groß-Gerau (Kreis)",Schulstraße 2 a-c,49.92139,8.48255
23,1125,32,1.0,,4.0,65479,"Raunheim, Groß-Gerau (Kreis)",Schulstraße 2 a-c,49.92139,8.48255
24,1672,102,3.0,Etagenwohnung,0.0,63067,"Offenbach am Main, Stadtmitte",Bettinastr. 77-81,,
25,1672,102,3.0,Etagenwohnung,0.0,63067,"Offenbach am Main, Stadtmitte",Bettinastr. 77-81,,
26,1672,102,3.0,Etagenwohnung,0.0,63067,"Offenbach am Main, Stadtmitte",Bettinastr. 77-81,,
27,1660,101,3.0,Etagenwohnung,0.0,63067,"Offenbach am Main, Stadtmitte",Bettinastr. 77-81,,
28,1660,101,3.0,Etagenwohnung,0.0,63067,"Offenbach am Main, Stadtmitte",Bettinastr. 77-81,,
29,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
30,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
31,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
32,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
33,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
34,1760,90,4.0,Etagenwohnung,-1.0,60326,"Frankfurt, Gallusviertel",,50.1038405,8.6431009
35,2975,175,3.0,,0.0,60327,"Frankfurt am Main - Europaviertel, Gallusviertel",Europa-Allee 101-103,50.108501,8.642324
36,2975,175,3.0,,0.0,60327,"Frankfurt am Main - Europaviertel, Gallusviertel",Europa-Allee 101-103,50.108501,8.642324
37,2975,175,3.0,,0.0,60327,"Frankfurt am Main - Europaviertel, Gallusviertel",Europa-Allee 101-103,50.108501,8.642324
38,2975,175,3.0,,0.0,60327,"Frankfurt am Main - Europaviertel, Gallusviertel",Europa-Allee 101-103,50.108501,8.642324
39,2975,175,3.0,,0.0,60327,"Frankfurt am Main - Europaviertel, Gallusviertel",Europa-Allee 101-103,50.108501,8.642324
40,1768,96,2.0,Penthouse,1.0,60528,"Frankfurt am Main, Niederrad",Lyoner Straße 17,50.0805613,8.6367016
41,1768,96,2.0,Penthouse,1.0,60528,"Frankfurt am Main, Niederrad",Lyoner Straße 17,50.0805613,8.6367016
42,1768,96,2.0,Penthouse,1.0,60528,"Frankfurt am Main, Niederrad",Lyoner Straße 17,50.0805613,8.6367016
43,1768,96,2.0,Penthouse,1.0,60528,"Frankfurt am Main, Niederrad",Lyoner Straße 17,50.0805613,8.6367016
44,1768,96,2.0,Penthouse,1.0,60528,"Frankfurt am Main, Niederrad",Lyoner Straße 17,50.0805613,8.6367016
45,1428,70,,Etagenwohnung,,60325,"Frankfurt am Main, Westend-Süd",Georg-Voigt-Straße 11-15,50.1152864,8.6503827
46,1428,70,,Etagenwohnung,,60325,"Frankfurt am Main, Westend-Süd",Georg-Voigt-Straße 11-15,50.1152864,8.6503827
47,1428,70,,Etagenwohnung,,60325,"Frankfurt am Main, Westend-Süd",Georg-Voigt-Straße 11-15,50.1152864,8.6503827
48,1224,46,2.0,Etagenwohnung,,60325,"Frankfurt am Main, Westend-Süd",Georg-Voigt-Straße 11-15,50.1152864,8.6503827
49,1224,46,2.0,Etagenwohnung,,60325,"Frankfurt am Main, Westend-Süd",Georg-Voigt-Straße 11-15,50.1152864,8.6503827
50,865,21,1.0,Etagenwohnung,,63065,"Offenbach am Main, Stadtmitte",Kaiserstraße 73,,
51,865,21,1.0,Etagenwohnung,,63065,"Offenbach am Main, Stadtmitte",Kaiserstraße 73,,
